pt_cycle_id,month,claim_count
2025093022112514007,2023-08-01 00:00:00+00:00,7403
2025093022112514007,2023-09-01 00:00:00+00:00,6925
2025093022112514007,2023-10-01 00:00:00+00:00,7372
2025093022112514007,2023-11-01 00:00:00+00:00,7494
2025093022112514007,2023-12-01 00:00:00+00:00,6959
2025093022112514007,2024-01-01 00:00:00+00:00,7724
2025093022112514007,2024-02-01 00:00:00+00:00,6304
2025093022112514007,2024-03-01 00:00:00+00:00,5733
2025093022112514007,2024-04-01 00:00:00+00:00,6412
2025093022112514007,2024-05-01 00:00:00+00:00,6780
2025093022112514007,2024-06-01 00:00:00+00:00,5825
2025093022112514007,2024-07-01 00:00:00+00:00,6470
2025093022112514007,2024-08-01 00:00:00+00:00,6508
2025093022112514007,2024-09-01 00:00:00+00:00,5979
2025093022112514007,2024-10-01 00:00:00+00:00,6812
2025093022112514007,2024-11-01 00:00:00+00:00,5810
2025093022112514007,2024-12-01 00:00:00+00:00,6240
2025093022112514007,2025-01-01 00:00:00+00:00,6484
2025093022112514007,2025-02-01 00:00:00+00:00,5680
2025093022112514007,2025-03-01 00:00:00+00:00,5989
2025093022112514007,2025-04-01 00:00:00+00:00,5909
2025093022112514007,2025-05-01 00:00:00+00:00,5934
2025093022112514007,2025-06-01 00:00:00+00:00,5560
2025093022112514007,2025-07-01 00:00:00+00:00,6242
2025100801311577307,2023-08-01 00:00:00+00:00,7403
2025100801311577307,2023-09-01 00:00:00+00:00,6925
2025100801311577307,2023-10-01 00:00:00+00:00,7372
2025100801311577307,2023-11-01 00:00:00+00:00,7494
2025100801311577307,2023-12-01 00:00:00+00:00,6959
2025100801311577307,2024-01-01 00:00:00+00:00,7724
2025100801311577307,2024-02-01 00:00:00+00:00,6304
2025100801311577307,2024-03-01 00:00:00+00:00,5733
2025100801311577307,2024-04-01 00:00:00+00:00,6412
2025100801311577307,2024-05-01 00:00:00+00:00,6780
2025100801311577307,2024-06-01 00:00:00+00:00,5825
2025100801311577307,2024-07-01 00:00:00+00:00,6470
2025100801311577307,2024-08-01 00:00:00+00:00,6508
2025100801311577307,2024-09-01 00:00:00+00:00,5979
2025100801311577307,2024-10-01 00:00:00+00:00,6812
2025100801311577307,2024-11-01 00:00:00+00:00,5810
2025100801311577307,2024-12-01 00:00:00+00:00,6240
2025100801311577307,2025-01-01 00:00:00+00:00,6484
2025100801311577307,2025-02-01 00:00:00+00:00,5680
2025100801311577307,2025-03-01 00:00:00+00:00,5989
2025100801311577307,2025-04-01 00:00:00+00:00,5909
2025100801311577307,2025-05-01 00:00:00+00:00,5934
2025100801311577307,2025-06-01 00:00:00+00:00,5562
2025100801311577307,2025-07-01 00:00:00+00:00,6272
